        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [?C] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] , PerfCap Reason [] , VDDC [V] ,
19-02-18 10:10:36 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:37 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:38 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:39 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:40 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:41 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:42 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:43 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:44 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:46 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:47 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:48 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:49 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:50 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:51 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:52 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:53 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:54 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:55 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:10:57 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:58 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:10:59 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:00 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:01 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:02 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:03 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:04 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:05 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:06 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:08 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:09 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:10 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:11 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:12 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:13 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:14 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:15 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:16 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:17 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:18 PM,607.5,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:19 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:20 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:21 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:22 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:23 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:24 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:25 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:26 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:27 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:28 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:30 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:31 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:32 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:33 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:34 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:35 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:36 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:37 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:38 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:39 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:41 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:42 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:43 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:44 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:45 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:46 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:47 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:48 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:49 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:50 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:52 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:53 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:54 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:55 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:11:56 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:57 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:58 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:11:59 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:00 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:01 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:03 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:04 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:05 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:06 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:07 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:08 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:09 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:10 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:11 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:12 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:14 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:15 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:16 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:17 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:18 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:19 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:20 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:21 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:22 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:23 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:26 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:27 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:27 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:29 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:30 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:30 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:31 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:32 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:33 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:34 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:36 PM,139,202.5,45,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:37 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:38 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:39 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:40 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:41 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:42 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:43 PM,139,202.5,44,0,0,0,0,0,0,16,0.625,
19-02-18 10:12:44 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:45 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:47 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:48 PM,139,202.5,45,0,0,0,0,0,0,1,0.625,
19-02-18 10:12:49 PM,139,202.5,44,0,0,0,0,0,0,1,0.625,
